city;latitude;longitude;generation_time_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation;time_unit;temperature_2m_unit;precipitation_unit;relative_humidity_2m_unit;precipitation_probability_unit;time;temperature_2m;precipitation;relative_humidity_2m;precipitation_probability
Atlanta;33.759865;-84.39586;0.07426738739013672;-14400;America/New_York;GMT-4;327.0;iso8601;°C;mm;%;%;2026-07-12T12:00;30.9;0.0;49;8
Charlotte;35.216976;-80.83189;0.9827613830566406;-14400;America/New_York;GMT-4;254.0;iso8601;°C;mm;%;%;2026-07-12T12:00;30.3;0.0;51;7
Chicago;41.879498;-87.64974;0.05996227264404297;-18000;America/Chicago;GMT-5;241.0;iso8601;°C;mm;%;%;2026-07-12T12:00;25.2;0.0;74;0
Cleveland;41.502296;-81.709496;0.10526180267333984;-14400;America/New_York;GMT-4;202.0;iso8601;°C;mm;%;%;2026-07-12T12:00;26.4;0.0;59;0
Copenhagen;55.75;12.5;0.09429454803466797;7200;Europe/Copenhagen;GMT+2;10.0;iso8601;°C;mm;%;%;2026-07-12T12:00;25.7;0.0;47;0
Denver;39.746895;-104.987076;0.0871419906616211;-21600;America/Denver;GMT-6;1599.0;iso8601;°C;mm;%;%;2026-07-12T12:00;33.9;0.0;21;0
Las Vegas;36.16438;-115.14392;0.050187110900878906;-25200;America/Los_Angeles;GMT-7;620.0;iso8601;°C;mm;%;%;2026-07-12T12:00;41.2;0.0;13;1
Minneapolis;44.96949;-93.26296;0.07653236389160156;-18000;America/Chicago;GMT-5;253.0;iso8601;°C;mm;%;%;2026-07-12T12:00;31.8;0.0;52;1
New York;40.710335;-73.99308;0.0730752944946289;-14400;America/New_York;GMT-4;32.0;iso8601;°C;mm;%;%;2026-07-12T12:00;27.5;0.0;46;0
Philadelphia;39.96188;-75.15539;0.045299530029296875;-14400;America/New_York;GMT-4;32.0;iso8601;°C;mm;%;%;2026-07-12T12:00;25.5;0.0;65;0
Pittsburgh;40.445118;-80.005745;0.3720521926879883;-14400;America/New_York;GMT-4;236.0;iso8601;°C;mm;%;%;2026-07-12T12:00;27.5;0.0;63;1
Scottsdale;33.48368;-111.937996;0.9751319885253906;-25200;America/Phoenix;GMT-7;387.0;iso8601;°C;mm;%;%;2026-07-12T12:00;41.1;0.0;24;1
Seattle;47.595562;-122.32443;0.0737905502319336;-25200;America/Los_Angeles;GMT-7;59.0;iso8601;°C;mm;%;%;2026-07-12T12:00;17.8;0.0;64;0
St Louis;38.622715;-90.2129;0.286102294921875;-18000;America/Chicago;GMT-5;145.0;iso8601;°C;mm;%;%;2026-07-12T12:00;28.0;0.0;66;0
Manchester;53.5;-2.25;0.12254714965820312;3600;Europe/London;GMT+1;52.0;iso8601;°C;mm;%;%;2026-07-12T12:00;24.3;0.0;46;0
Boston;42.365166;-71.0618;0.061392784118652344;-14400;America/New_York;GMT-4;9.0;iso8601;°C;mm;%;%;2026-07-12T12:00;25.2;0.0;48;0
San Diego;32.720078;-117.15093;0.0635385513305664;-25200;America/Los_Angeles;GMT-7;20.0;iso8601;°C;mm;%;%;2026-07-12T12:00;20.7;0.0;89;1
Salt Lake City;40.746216;-111.905396;0.3459453582763672;-21600;America/Denver;GMT-6;1302.0;iso8601;°C;mm;%;%;2026-07-12T12:00;39.8;0.0;6;0
New Orleans;29.95653;-90.07374;0.4228353500366211;-18000;America/Chicago;GMT-5;19.0;iso8601;°C;mm;%;%;2026-07-12T12:00;30.2;0.0;74;23
Santa Monica;34.011898;-118.487366;0.06437301635742188;-25200;America/Los_Angeles;GMT-7;35.0;iso8601;°C;mm;%;%;2026-07-12T12:00;22.1;0.0;81;1
Detroit;42.320606;-83.031075;0.06949901580810547;-14400;America/Detroit;GMT-4;182.0;iso8601;°C;mm;%;%;2026-07-12T12:00;28.4;0.0;37;0
Sydney;-33.848858;151.19551;0.09179115295410156;36000;Australia/Sydney;GMT+10;86.0;iso8601;°C;mm;%;%;2026-07-12T12:00;14.8;0.0;48;0
London;51.5;-0.25;0.11658668518066406;3600;Europe/London;GMT+1;16.0;iso8601;°C;mm;%;%;2026-07-12T12:00;26.9;0.0;44;0
